GOS,Completed,1408,1632,https://www.lnmtl.com/novel/god-of-slaughter
GE,Ongoing,1171,1230,https://www.lnmtl.com/novel/grasping-evil
HJC,Completed,308,308,https://www.lnmtl.com/novel/heavenly-jewel-change
TTNH,Completed,1290,2750,https://www.lnmtl.com/novel/transcending-the-nine-heavens
IGE,Completed,534,1316,https://www.lnmtl.com/novel/imperial-god-emperor
