1,PMG,Completed,947,2500
2,GOS,Completed,1069,1600
3,GE,Ongoing,562,1120
4,HSSB,Ongoing,172,1091
5,MGA,Ongoing,1781,2934
6,HJC,Completed,234,308
7,TTNH,Completed,849,2750
8,IGE,Ongoing,534,1273
