1,AST,Completed,772,936,2492
2,HSSB,Ongoing,230,400,1329
3,ISSTH,Completed,1580,1614,1614
4,LotD,Completed,232,292,669
5,LSS,Completed,396,521,1399
6,MW,Completed,1046,1061,2262
7,RI,Completed,306,548,2088
8,TWM,Ongoing,1075,1082,1082
